Date,Open,High,Low,Close,Adj Close,Volume
2026-02-12,6957.54,6973.22,6842.45,6866.68,6866.68,2509190198
2026-02-06,6816.74,6993.48,6816.74,6941.47,6941.47,23705400000
2026-01-30,6947.27,6993.08,6780.13,6798.40,6798.40,33951920000
2026-01-23,6907.85,7002.28,6870.80,6969.01,6969.01,27557150000
2026-01-16,6960.54,6967.30,6789.05,6913.35,6913.35,22269150000
2026-01-09,6927.83,6986.33,6885.74,6944.47,6944.47,25919550000
2026-01-02,6878.11,6965.69,6824.31,6921.46,6921.46,26013410000
2025-12-26,6936.02,6945.77,6844.55,6845.50,6845.50,12700060000
2025-12-19,6792.62,6937.32,6792.62,6932.05,6932.05,18638330000
2025-12-12,6886.85,6899.85,6720.43,6774.76,6774.76,25092250000
2025-12-05,6866.32,6903.46,6824.69,6901.00,6901.00,24757370000
2025-11-28,6822.52,6866.47,6799.94,6857.12,6857.12,21299420000
2025-11-21,6555.77,6831.44,6521.92,6812.61,6812.61,21458000000
2025-11-14,6672.14,6774.31,6534.05,6538.76,6538.76,26023960000
2025-11-07,6696.18,6869.91,6631.44,6737.49,6737.49,27042940000
2025-10-31,6879.17,6882.32,6707.51,6720.32,6720.32,30195010000
2025-10-24,6772.07,6920.34,6772.07,6822.34,6822.34,28377630000
2025-10-17,6613.27,6752.16,6603.76,6738.44,6738.44,26551070000
2025-10-10,6740.49,6762.40,6550.78,6629.07,6629.07,29248730000
2025-10-03,6722.14,6764.58,6699.96,6735.11,6735.11,27631870000
2025-09-26,6615.38,6731.94,6604.43,6715.35,6715.35,27973160000
2025-09-19,6647.11,6699.52,6569.22,6604.72,6604.72,31736050000
2025-09-12,6590.66,6656.80,6551.15,6631.96,6631.96,26143910000
2025-09-05,6529.08,6592.89,6443.98,6587.47,6587.47,25755440000
2025-08-29,6489.28,6502.54,6360.58,6502.08,6502.08,18154970000
2025-08-22,6384.59,6508.23,6384.59,6501.86,6501.86,22401050000
2025-08-15,6477.38,6481.34,6343.86,6370.17,6370.17,21598740000
2025-08-08,6355.22,6480.28,6355.22,6468.54,6468.54,24215610000
2025-08-01,6287.28,6389.71,6212.69,6340.00,6340.00,26901790000
2025-07-25,6370.01,6427.02,6327.64,6339.39,6339.39,25564610000
2025-07-18,6312.95,6381.31,6281.71,6363.35,6363.35,26782810000
2025-07-11,6255.68,6304.69,6201.59,6297.36,6297.36,25201880000
2025-07-04,6259.04,6290.22,6201.00,6280.46,6280.46,21156460000
2025-06-27,6150.70,6284.65,6132.35,6279.35,6279.35,28971380000
2025-06-20,5999.67,6146.52,5943.23,6141.02,6141.02,28971440000
2025-06-13,6000.56,6050.83,5963.21,5980.87,5980.87,20432790000
2025-06-06,5987.06,6059.40,5978.63,6045.26,6045.26,23662000000
2025-05-30,5903.67,5999.70,5843.66,5939.30,5939.30,26096360000
2025-05-23,5781.89,5943.13,5767.41,5912.17,5912.17,19264000000
2025-05-16,5929.09,5968.61,5825.82,5842.01,5842.01,23823010000
2025-05-09,5679.65,5924.21,5644.15,5916.93,5916.93,26400700000
2025-05-02,5645.88,5720.10,5578.64,5663.94,5663.94,24544740000
2025-04-25,5489.73,5658.91,5433.24,5604.14,5604.14,23626370000
2025-04-18,5232.94,5489.40,5101.63,5484.77,5484.77,18962390000
2025-04-11,5255.56,5459.46,5220.77,5282.70,5282.70,24273730000
2025-04-04,5292.14,5481.34,4835.04,5268.05,5268.05,41120360000
2025-03-28,5679.20,5695.31,5390.83,5396.52,5396.52,25659380000
2025-03-21,5630.73,5786.95,5603.10,5693.31,5693.31,26939390000
2025-03-14,5563.85,5715.33,5563.85,5662.89,5662.89,23899730000
2025-03-07,5726.01,5783.01,5504.65,5521.52,5521.52,28574560000
2025-02-28,5856.74,5986.09,5711.64,5738.52,5738.52,28644150000
2025-02-21,6114.10,6114.82,5858.78,5861.57,5861.57,25726630000
2025-02-14,6115.52,6147.43,6084.59,6117.52,6117.52,18396190000
2025-02-07,6083.13,6116.91,6003.00,6115.07,6115.07,22942300000
2025-01-31,6096.79,6120.91,5923.93,6083.57,6083.57,23654510000
2025-01-24,6121.43,6128.18,5962.92,6071.17,6071.17,22636570000
2025-01-17,5995.40,6118.73,5978.44,6118.71,6118.71,17825040000
2025-01-10,5890.35,5964.69,5773.31,5937.34,5937.34,22145790000
2025-01-03,5891.07,6021.04,5874.78,5918.25,5918.25,17566530000
2024-12-27,6006.17,6006.17,5829.53,5868.55,5868.55,13342890000
2024-12-20,5842.00,6049.75,5832.30,6037.59,6037.59,16478750000
2024-12-13,6068.17,6085.19,5866.07,5867.08,5867.08,22664400000
2024-12-06,6081.38,6099.97,6029.89,6051.25,6051.25,20477660000
2024-11-29,6003.98,6094.55,6003.98,6075.11,6075.11,19167300000
2024-11-22,5944.36,6025.42,5944.36,5998.74,5998.74,16973080000
2024-11-15,5912.79,5963.32,5853.01,5948.71,5948.71,20614500000
2024-11-08,5976.76,6017.31,5942.28,5949.17,5949.17,21647890000
2024-11-01,5723.22,5983.84,5696.51,5973.10,5973.10,22422090000
2024-10-25,5826.75,5862.82,5702.86,5705.45,5705.45,19348440000
2024-10-18,5859.43,5872.17,5762.41,5809.86,5809.86,17199260000
2024-10-11,5775.09,5878.46,5775.09,5841.47,5841.47,17043330000
2024-10-04,5737.48,5796.80,5686.85,5780.05,5780.05,17369720000
2024-09-27,5755.36,5765.14,5674.00,5699.94,5699.94,19775940000
2024-09-20,5709.64,5767.37,5674.49,5745.37,5745.37,23285610000
2024-09-13,5603.34,5733.57,5601.65,5713.64,5713.64,18097380000
2024-09-06,5507.33,5600.71,5402.62,5595.76,5595.76,18991440000
2024-08-30,5612.74,5651.37,5480.54,5503.41,5503.41,15051990000
2024-08-23,5602.49,5651.62,5560.95,5591.96,5591.96,15148590000
2024-08-16,5530.50,5643.22,5525.17,5570.64,5570.64,15675360000
2024-08-09,5314.66,5546.23,5300.84,5543.22,5543.22,17628900000
2024-08-02,5376.63,5383.89,5119.26,5319.31,5319.31,23754980000
2024-07-26,5433.67,5566.16,5401.70,5446.68,5446.68,20047010000
2024-07-19,5543.37,5585.34,5390.95,5399.22,5399.22,19173630000
2024-07-12,5590.76,5669.67,5522.81,5544.59,5544.59,19616470000
2024-07-05,5537.91,5642.45,5531.63,5584.54,5584.54,17028720000
2024-06-28,5488.48,5539.27,5446.53,5537.02,5537.02,16197400000
2024-06-21,5466.77,5490.81,5446.56,5482.87,5482.87,21215960000
2024-06-14,5424.08,5505.53,5403.75,5473.17,5473.17,14277880000
2024-06-07,5343.81,5447.25,5327.25,5433.74,5433.74,18376290000
2024-05-31,5243.21,5362.35,5191.68,5352.96,5352.96,20393430000
2024-05-24,5281.45,5315.91,5222.10,5235.48,5235.48,14128550000
2024-05-17,5303.10,5341.88,5256.93,5267.84,5267.84,18377110000
2024-05-10,5225.49,5325.49,5209.68,5297.10,5297.10,20815470000
2024-05-03,5122.78,5215.30,5101.22,5214.08,5214.08,19165600000
2024-04-26,5084.65,5123.49,5011.05,5064.20,5064.20,20059890000
2024-04-19,5005.44,5089.48,4953.56,5048.42,5048.42,19065190000
2024-04-12,5171.51,5175.03,5001.89,5011.12,5011.12,19135520000
2024-04-05,5158.95,5224.81,5138.70,5199.06,5199.06,17420950000
2024-03-29,5257.97,5263.95,5146.06,5147.21,5147.21,14991450000
2024-03-22,5242.48,5264.85,5203.42,5254.35,5254.35,18426620000
2024-03-15,5123.31,5261.10,5104.35,5241.53,5241.53,24094230000
2024-03-08,5164.46,5189.26,5091.14,5150.48,5150.48,21156670000
2024-03-01,5098.51,5165.62,5056.82,5157.36,5157.36,22621990000
2024-02-23,5100.92,5111.06,5057.29,5096.27,5096.27,20291780000
2024-02-16,5031.13,5094.39,4946.00,5087.03,5087.03,15708250000
2024-02-09,5004.17,5048.39,4920.31,5029.73,5029.73,20004490000
2024-02-02,4916.06,5000.40,4907.99,4997.91,4997.91,21676320000
2024-01-26,4888.91,4931.09,4845.15,4906.19,4906.19,19796900000
2024-01-19,4796.28,4903.68,4785.87,4894.16,4894.16,20848070000
2024-01-12,4791.18,4802.40,4714.82,4780.94,4780.94,15694490000
2024-01-05,4690.57,4798.50,4682.11,4780.24,4780.24,18375220000
2023-12-29,4782.88,4788.43,4687.53,4688.68,4688.68,14535350000
2023-12-22,4753.92,4793.30,4736.77,4783.35,4783.35,11007990000
2023-12-15,4714.23,4778.01,4697.82,4746.75,4746.75,23938790000
2023-12-08,4576.20,4738.57,4574.06,4719.55,4719.55,22716290000
2023-12-01,4559.43,4599.39,4546.50,4585.59,4585.59,20741540000
2023-11-24,4555.84,4587.64,4537.24,4567.80,4567.80,18447790000
2023-11-17,4509.55,4568.43,4499.66,4556.62,4556.62,13975920000
